mean_accuracy,step,mean_iou,loss,epoch,val_mean_iou,val_mean_accuracy,val_loss
,1799,,,14,0.8293793114844942,0.8974462499621455,0.2810059189796448
0.9738695605226276,1849,0.9438041458824911,0.023335425183176994,15,,,
0.9371542073830991,1899,0.9075608843779813,0.10484880954027176,15,,,
,1919,,,15,0.8982937490595274,0.9423189328411198,0.19215156137943268
0.985108939537395,1949,0.9731328017824313,0.06060533970594406,16,,,
0.9710634315998316,1999,0.9554265745081688,0.03087327815592289,16,,,
,2039,,,16,0.8876357661908246,0.9353895602469854,0.19217433035373688
0.9343811003399279,2049,0.8934142238154581,0.028559060767292976,17,,,
0.9876501690018543,2099,0.9751332849457789,0.01624251902103424,17,,,
0.9748233831988684,2149,0.9592245074497298,0.2888740301132202,17,,,
,2159,,,17,0.8787161934358454,0.9286900741534784,0.18837957084178925
0.9823250159211971,2199,0.9772338160911559,0.026002496480941772,18,,,
0.9879569146599909,2249,0.9861245264308045,0.0201688501983881,18,,,
,2279,,,18,0.8635124327651287,0.9231693705375207,0.22525349259376526
0.9576591891753977,2299,0.9380317128302696,0.035135749727487564,19,,,
0.97994129717921,2349,0.9410338776547662,0.17279139161109924,19,,,
0.9637485471751402,2399,0.9422553222234971,0.017785411328077316,19,,,
,2399,,,19,0.8957579839730001,0.941995832949273,0.17736957967281342
0.9483400538625774,2449,0.908970559017792,0.010183792561292648,20,,,
0.9764135199780584,2499,0.9682027275904109,0.09296940267086029,20,,,
,2519,,,20,0.886461813846109,0.9370141260546747,0.18603618443012238
0.9583118843659578,2549,0.9301045515472905,0.013862280175089836,21,,,
0.9737466832667034,2599,0.9479931594781501,0.007049467880278826,21,,,
,2639,,,21,0.8832160678121186,0.9345695512686109,0.1721472442150116
0.9876083547057362,2649,0.9632171366316125,0.043225616216659546,22,,,
0.9539340074161861,2699,0.895710025047297,0.01650109514594078,22,,,
0.9186216276338718,2749,0.8825706175609641,0.0662718415260315,22,,,
,2759,,,22,0.9013235712889536,0.941887723036661,0.17788557708263397
0.9910964951649114,2799,0.9793315805936653,0.07834932953119278,23,,,
0.9519956367782368,2849,0.9421315035224174,0.3484005033969879,23,,,
,2879,,,23,0.8915280751168654,0.937692610174598,0.1860988438129425
0.9629439081000948,2899,0.9542023668728746,0.015779605135321617,24,,,
0.9774161912190125,2949,0.9533452161897372,0.010631786659359932,24,,,
0.9874389475879622,2999,0.9777142841713063,0.06540379673242569,24,,,
,2999,,,24,0.8934260239650013,0.9418756082394416,0.17202095687389374
0.9631424898349535,3049,0.9498615528481787,0.007259602192789316,25,,,
0.9558661729276522,3099,0.9439971219643328,0.010834136977791786,25,,,
,3119,,,25,0.8996161901424758,0.9445354816168501,0.17961253225803375
0.9756873388096317,3149,0.93695015089502,0.01949458010494709,26,,,
0.9841712668760865,3199,0.9610426879098265,0.006472147535532713,26,,,
,3239,,,26,0.8947728888895057,0.9359409233443681,0.17386198043823242
